id,family,subfamily,tribus,subtribus,genus,genus_author
195,Rosaceae,,,,Agrimonia,L.
162,Anthericaceae,,,,Anthericum,L.
196,Fabaceae,,,,Anthyllis,L.
131,Poaceae,,,,Brachypodium,P. Beauv.
1758,Caprifoliaceae,,,,Cephalaria,Schrad. ex Schult. & Schult. f.
3,Asteraceae,Cichorioideae,Lactuceae,Lactucinae,Cicerbita,Wallr.
182,Brassicaceae,,,,Erysimum,L.
219,Rosaceae,,,,Fragaria,L.
198,Rubiaceae,,,,Galium,L.
233,Rosaceae,,,,Geum,L.
199,Primulaceae,,,,Glaux,L.
234,Lamiaceae,,,,Glechoma,L.
49,Saxifragaceae,,,,Heuchera,L.
205,Plumbaginaceae,,,,Limonium,Mill.
186,Hamamelidaceae,,,,Parrotia,C.A. Mey.
103,Taxaceae,,,,Taxus,L.
114,Scrophulariaceae,,,,Verbascum,L.
176,Viburnaceae,,,,Viburnum,L.
