id,name,code,number,address,phone,website,email
1,Jena,JENA,0,"Botanischer Garten
der Friedrich-Schiller-Universität 
Fürstengraben 26
07743 Jena
GERMANY",+49 3641 949251,https://www.botanischergarten.uni-jena.de,
15,Botanic Gardens Adelaide,AD,1,"Botanic Gardens of Adelaide
North Terrace
Adelaide
South Australia 5000
Australia",+61 8 8222 9311,http://www.botanicgardens.sa.gov.au/,botanicgardens@saugov.sa.gov.au
19,Botanical Garden Almaty,AA,5,"Botanical Garden, Institute of Botany and Phytointroduction
Kazakhstan Academy of Sciences
Almaty
480070 
Kazakhstan",7 3272 476692,,
23,Hortus Botanicus Amsterdam,AMD,7,"Hortus Botanicus Amsterdam
Plantage Middenlaan 2A
NL-1018 DD AMSTERDAM
Netherlands",31 (0)20 6259021,http://www.dehortus.nl/,info@deHortus.nl
26,Antwerpen Hortus Botanicus,,9,"Den Botaniek
Leopoldstraat 24
2000 Antwerpen 1
BELGIUM",1932 (0) 40 3232 1987,http://www.antwerpen.be/,sb_plantentuin@stad.antwerpen.be
28,Central Botanic Garden Ashkhabad,ASH,11,"Central Botanic Garden
Turkmen Academy of Sciences, 
Timiryazev str. 17, 
744012 ASHKHABAD, 
Turkmenistan",4 18 57,,
29,Julia & Alexander N. Diomides Botanic Garden Athen,ATHD,14,"J. & A.N. Diomides Botanic Garden
University of Athens
401, IERA Street-Chaidari
124 61 Athen
Griechenland",30 210-5811557,http://www.diomedes-bg.uoa.gr/,uoabotgd@otenet.gr
43,Botanical Garden Batumi,BATU,15,"Batumi Botanical Garden
Academia Nauk
Makhinjauri
6010 Batumi
GEORGIA",995 93 952927,,botgardenbatumi@yahoo.com
35,Central Botanical Garden Baku,,16,"Central Botanical Garden
of Azerbaijan
Badamdarshosse 40
370073 BAKU AZ 1073
Azerbaijan",(994-12)5024172,http://www.aznabatat.com/,az_nabatat@hotmail.com
370,Botanic Garden Santa Barbara,SBBG,17,"Botanic Garden
1212 Mission Canyon Road
CA 93105-2126 Santa Barbara
USA",,,info@sbbg.org
37,Jardi Botanic de Barcelona,BC,18,"Jardi Botanic de Barcelona
C/- Dr Font Quer s/n
Parc de Montjuic
08038 BARCELONA,
Spain",93 426 4935,http://www.jardibotanic.bcn.es/,dbertran@bcn.cat
41,Botanischer Garten der Universität Basel,BAS,19,"Botanischer Garten 
der Universität Basel
Schönbeinstrasse 6
CH-4056 Basel
Switzerland",41 61 267 35 19,http://www.unibas.ch/botgarten/,Bruno.Erny@unibas.ch
48,University of California Botanical Garden,UC,22,"University of California 
Botanical Garden
200 Centennial Drive #5045
Berkeley
California 94720-5045 
United States of America",510-643-2755,http://botanicalgarden.berkeley.edu/,GARDEN@UCLINK.BERKELEY.EDU
199,Botanical Gardens Irkutsk,BAIKL,23,"Botanical Gardens of the
Irkutsk State University
Koltsova Str.93
P.B.1457
664039 Irkutsk
Russland",,,vic@bogard.isu.runnet.ru
49,Botanischer Garten und Bot. Museum Berlin-Dahlem,B,24,"Botanischer Garten u.Museum
Berlin-Dahlem
Königin-Luise-Str. 6-8
D-14195 Berlin
Germany",030 830060,http://www.bgbm.org/,seed@bgbm.org
51,Botanischer Garten der Universitat Bern,BERN,26,"Botanischer Garten
der Universitat Bern
Altenbergrain 21
CH-3013 Bern 
Switzerland",41 (0)31 631 49 45,http://www.botanischergarten.ch/,seedexchange@boga.unibe.ch
53,Jardin Botanique de Besancon,BESN,27,"Jardin Botanique de la Ville
et de l'Universite de BESANCON
Place Marechal Leclerc
F-25000 Besancon
FRANCE",33 3 81 66 5778,http://jardin-botanique.univ-fcomte.fr/,jardbotan.besancon@univ-fcomte.fr
59,Jardín Botànic Marimurtra,BLAN,28,"Jardí Botànic Marimurtra
Passeig Carlos Faust No9 
Box 112
Blanes 17300 
Spain",34 (972) 330826,http://www.marimurtra.cat/,marimurtra@marimurtra.cat
181,Botanic Gardens Bogor,BO,29,"Botanic Gardens of Indonesia
Balai Pengembangan
Kebun Raya
Jl.IR.H.Juanda No.13
P.O.Box 309
Bogor 160003 Indonesia",,,Kriblipi@indosat.net.id
62,Botanische Gärten der Universität Bonn,BONN,30,"Botanischer Garten
der Universität Bonn
Meckenheimer Allee 171,
D-53115 Bonn
Germany",49 (0)228 73 5523,http://www.botgart.uni-bonn.de/,botgart@uni-bonn.de
